"record_identifier","ecommons_entity_name","ecommons_title","ecommons_title_year","ecommons_subject","ecommons_publisher","search_url","OCLC_result1_preflabel","OCLC_result1_birthdate","OCLC_result1_deathdate","OCLC_result1_score","OCLC_result1_subject","OCLC_result1_subject_CUL_score","OCLC_result1_OCLC_URI","OCLC_result1_LoC_preflabel","OCLC_result1_LoC_URI","OCLC_result1_LoC_birthdate","OCLC_result1_LoC_deathdate","OCLC_result1_LoC_affiliation_CUL_score","OCLC_result1_VIAF_URI","OCLC_result1_VIAF_title_CUL_score","OCLC_result1_VIAF_affiliation_CUL_score","OCLC_result1_ISNI_URI","OCLC_result1_Wiki_URI","OCLC_result2_Wiki_affiliation_CUL_score","OCLC_result2_preflabel","OCLC_result2_birthdate","OCLC_result2_deathdate","OCLC_result2_score","OCLC_result2_subject","OCLC_result2_subject_CUL_score","OCLC_result2_OCLC_URI","OCLC_result2_LoC_preflabel","OCLC_result2_LoC_URI","OCLC_result2_LoC_birthdate","OCLC_result2_LoC_deathdate","OCLC_result2_LoC_affiliation_CUL_score","OCLC_result2_VIAF_URI","OCLC_result2_VIAF_title_CUL_score","OCLC_result2_VIAF_affiliation_CUL_score","OCLC_result2_ISNI_URI","OCLC_result2_Wiki_URI","OCLC_result2_Wiki_affiliation_CUL_score"
"oai:ecommons.cornell.edu:1813/34","Bethe, Monica","Dance in the Noh Theater, Volume 1: Dance Analysis","1982","","['Cornell University East Asia Program']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Bethe%2C%20Monica","Monica Bethe","","","1485.869","Nō--Costume","","http://worldcat.org/entity/person/id/2631445004","Bethe, Monica","http://id.loc.gov/authorities/names/n77012943","","","","http://viaf.org/viaf/27295775","9","","http://isni.org/isni/0000000121001270","","","Monica Bethe","","","18.231522","Nō--Stage-setting and scenery","","http://worldcat.org/entity/person/id/2633725407","","","","","","http://viaf.org/viaf/309644218","","","","",""
"oai:ecommons.cornell.edu:1813/34","Brazell, Karen","Dance in the Noh Theater, Volume 1: Dance Analysis","1982","","['Cornell University East Asia Program']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Brazell%2C%20Karen","Karen Brazell","1938","1-18","1062.9712","Courts and courtiers","","http://worldcat.org/entity/person/id/2634387317","Brazell, Karen","http://id.loc.gov/authorities/names/n78033232","","0118","","http://viaf.org/viaf/74011703","64","","http://isni.org/isni/0000000063112211","http://www.wikidata.org/entity/Q6369532","","Karen Brazell","","","10.220605","","","http://worldcat.org/entity/person/id/2639054457","","","","","","http://viaf.org/viaf/251522297","","","","",""
"oai:ecommons.cornell.edu:1813/49","Bethe, Monica","Dance in the Noh Theater, Volume 3: Dance Patterns","1982","['Dance', 'Patterns', 'No Theater', 'East Asia']","['Cornell University East Asia Program']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Bethe%2C%20Monica","Monica Bethe","","","1485.869","Nō--Costume","33","http://worldcat.org/entity/person/id/2631445004","Bethe, Monica","http://id.loc.gov/authorities/names/n77012943","","","","http://viaf.org/viaf/27295775","9","","http://isni.org/isni/0000000121001270","","","Monica Bethe","","","18.231522","Nō--Stage-setting and scenery","33","http://worldcat.org/entity/person/id/2633725407","","","","","","http://viaf.org/viaf/309644218","","","","",""
"oai:ecommons.cornell.edu:1813/49","Brazell, Karen","Dance in the Noh Theater, Volume 3: Dance Patterns","1982","['Dance', 'Patterns', 'No Theater', 'East Asia']","['Cornell University East Asia Program']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Brazell%2C%20Karen","Karen Brazell","1938","1-18","1062.9712","Courts and courtiers","36","http://worldcat.org/entity/person/id/2634387317","Brazell, Karen","http://id.loc.gov/authorities/names/n78033232","","0118","","http://viaf.org/viaf/74011703","64","","http://isni.org/isni/0000000063112211","http://www.wikidata.org/entity/Q6369532","","Karen Brazell","","","10.220605","","36","http://worldcat.org/entity/person/id/2639054457","","","","","","http://viaf.org/viaf/251522297","","","","",""
"oai:ecommons.cornell.edu:1813/52","Hirtle, Peter B.","Archives or Assets?","2003","","","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Hirtle%2C%20Peter%20B.","Peter B. Hirtle","","","140.53934","Archival materials--Digitization--Law and legislation","","http://worldcat.org/entity/person/id/2632276873","Hirtle, Peter B.","http://id.loc.gov/authorities/names/n87947888","","","","http://viaf.org/viaf/65542932","28","","http://isni.org/isni/0000000027500380","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/53","Hirtle, Peter B.","Digital Preservation and Copyright","2003","['preservation', 'copyright']","['Stanford Fair Use Web Site']","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Hirtle%2C%20Peter%20B.","Peter B. Hirtle","","","140.53934","Archival materials--Digitization--Law and legislation","25","http://worldcat.org/entity/person/id/2632276873","Hirtle, Peter B.","http://id.loc.gov/authorities/names/n87947888","","","","http://viaf.org/viaf/65542932","40","","http://isni.org/isni/0000000027500380","","","","","","","","","","","","","","","","","","","",""
"oai:ecommons.cornell.edu:1813/54","Welsch, Wolfgang","Reason and Transition:  On the Concept of Transversal Reason","2003","['reason', 'rationality', 'transversality', 'inconcludability']","","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Welsch%2C%20Wolfgang","Wolfgang Welsch","1946","","2856.7063","Aesthetics, Modern","36","http://worldcat.org/entity/person/id/2638007417","Welsch, Wolfgang, 1946-","http://id.loc.gov/authorities/names/n88079363","1946","","","http://viaf.org/viaf/61575042","42","","http://isni.org/isni/0000000110654313","http://www.wikidata.org/entity/Q72044","","Wolfgang Welsch","1944","","187.71866","Political persecution","36","http://worldcat.org/entity/person/id/2631480623","Welsch, Wolfgang, 1944-","http://id.loc.gov/authorities/names/nr2001022805","1944","","","http://viaf.org/viaf/22385571","41","","http://isni.org/isni/0000000078428323","http://www.wikidata.org/entity/Q1729429",""
"oai:ecommons.cornell.edu:1813/55","Welsch, Wolfgang","Rationality and Reason Today","2003","['reason', 'rationality', 'transversality', 'pluralization', 'disorderliness']","","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Welsch%2C%20Wolfgang","Wolfgang Welsch","1946","","2856.7063","Aesthetics, Modern","45","http://worldcat.org/entity/person/id/2638007417","Welsch, Wolfgang, 1946-","http://id.loc.gov/authorities/names/n88079363","1946","","","http://viaf.org/viaf/61575042","5","","http://isni.org/isni/0000000110654313","http://www.wikidata.org/entity/Q72044","","Wolfgang Welsch","1944","","187.71866","Political persecution","45","http://worldcat.org/entity/person/id/2631480623","Welsch, Wolfgang, 1944-","http://id.loc.gov/authorities/names/nr2001022805","1944","","","http://viaf.org/viaf/22385571","38","","http://isni.org/isni/0000000078428323","http://www.wikidata.org/entity/Q1729429",""
"oai:ecommons.cornell.edu:1813/56","Welsch, Wolfgang","Reason:  traditional and contemporary, or Why should we still speak of reason at all?","2003","['reason', 'rationality', 'transversality', 'postmodernism', 'plurality']","","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Welsch%2C%20Wolfgang","Wolfgang Welsch","1946","","2856.7063","Aesthetics, Modern","53","http://worldcat.org/entity/person/id/2638007417","Welsch, Wolfgang, 1946-","http://id.loc.gov/authorities/names/n88079363","1946","","","http://viaf.org/viaf/61575042","44","","http://isni.org/isni/0000000110654313","http://www.wikidata.org/entity/Q72044","","Wolfgang Welsch","1944","","187.71866","Political persecution","53","http://worldcat.org/entity/person/id/2631480623","Welsch, Wolfgang, 1944-","http://id.loc.gov/authorities/names/nr2001022805","1944","","","http://viaf.org/viaf/22385571","44","","http://isni.org/isni/0000000078428323","http://www.wikidata.org/entity/Q1729429",""
"oai:ecommons.cornell.edu:1813/57","Mason, Quentin","High Precision Lattice QCD: Perturbations in a Non-Perturbative World","2003","['Lattice QCD', 'Perturbation Theory', 'multi-loop', 'strange quark mass', 'staggered quarks', 'alpha_s']","","http://experiment.worldcat.org/entity/lookup/?wskey=COO&q=Mason%2C%20Quentin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
